symbol	entrez	ensembl	uniprot
Cox15	226139	ENSMUSG00000040018	Q8BJ03
Tbl1xr1	81004	ENSMUSG00000027630	
Smr3a	20599	ENSMUSG00000029280	
Dbh	13166	ENSMUSG00000000889	Q64237
Gltp	56356	ENSMUSG00000011884	Q9JL62
Rabif	98710	ENSMUSG00000042229	Q91X96
Gapdhs	14447	ENSMUSG00000061099	
Gltp	56356	ENSMUSG00000011884	
Smr3a	20599	ENSMUSG00000029280	Q61900
Prss1	114228	ENSMUSG00000062751	
Rmc1	76482	ENSMUSG00000024410	
Knop1	66356	ENSMUSG00000030980	
Bcl7c	12055	ENSMUSG00000030814	O08664
Ngf	18049	ENSMUSG00000027859	P01139
Defa40	100041787	ENSMUSG00000074441	
Ticrr	77011	ENSMUSG00000046591	Q8BQ33
Jhy	70989	ENSMUSG00000032023	E9Q793
Prdm12	381359	ENSMUSG00000079466	A2AJ77
Mbtps1	56453	ENSMUSG00000031835	Q9WTZ2
C1ql1	23829	ENSMUSG00000045532	O88992
Cabs1	70977	ENSMUSG00000007907	Q8C633
Ngf	18049	ENSMUSG00000027859	
Golga7	57437	ENSMUSG00000015341	Q91W53
Jhy	70989	ENSMUSG00000032023	
Wdr37	207615	ENSMUSG00000021147	Q8CBE3
Ticrr	77011	ENSMUSG00000046591	
Ighd2-7		ENSMUSG00000094057	
Wdr37	207615	ENSMUSG00000021147	
Fam189a2	381217	ENSMUSG00000071604	
Pter	19212	ENSMUSG00000026730	
Ighd5-8		ENSMUSG00000094268	
Zfp455	218311	ENSMUSG00000051037	
Mief2	237781	ENSMUSG00000018599	Q5NCS9
Ighd5-4		ENSMUSG00000096884	
Pter	19212	ENSMUSG00000026730	Q60866
Ighd2-6		ENSMUSG00000096250	
Larp1b	214048	ENSMUSG00000025762	
Inka2	109050	ENSMUSG00000048458	Q80VY2
Ighd5-7		ENSMUSG00000095592	
Rps3a1	20091	ENSMUSG00000028081	P97351
Ighd5-3		ENSMUSG00000093876	
Knop1	66356	ENSMUSG00000030980	Q9Z2Q2
Vmn2r63	435975	ENSMUSG00000090751	
C1ql3	227580	ENSMUSG00000049630	Q9ESN4
Cybb	13058	ENSMUSG00000015340	Q61093
H2-M10.5	224761	ENSMUSG00000037246	
Cybb	13058	ENSMUSG00000015340	
Pde12	211948	ENSMUSG00000043702	Q3TIU4
Triml2	622117	ENSMUSG00000091490	
Nxf1	53319	ENSMUSG00000010097	Q99JX7
Dcaf12l2	245403	ENSMUSG00000050926	Q8BGW4
Lce3c	94060	ENSMUSG00000045475	
Spr	20751	ENSMUSG00000033735	
Gtf3c3	98488	ENSMUSG00000041303	
Rspo4	228770	ENSMUSG00000032852	Q8BJ73
Lce3d	630994	ENSMUSG00000043472	
Myo7b	17922	ENSMUSG00000024388	Q99MZ6
Rmc1	76482	ENSMUSG00000024410	Q8VC42
Ppp4r4	74521	ENSMUSG00000021209	Q8C0Y0
Parp11	101187	ENSMUSG00000037997	Q8CFF0
H2-M10.6	399549	ENSMUSG00000037130	
Cnpy1	269637	ENSMUSG00000044681	
Utp15	105372	ENSMUSG00000041747	Q8C7V3
Lce3e	69514	ENSMUSG00000074433	
Cnpy1	269637	ENSMUSG00000044681	Q4VAB4
Arhgap44	216831	ENSMUSG00000033389	Q5SSM3
Ppp4r4	74521	ENSMUSG00000021209	
Sergef	27414	ENSMUSG00000030839	Q80YD6
Rabgap1	227800	ENSMUSG00000035437	
Bmt2	101148	ENSMUSG00000042742	Q8BXK4
Lce3f	69520	ENSMUSG00000068885	
Sergef	27414	ENSMUSG00000030839	
Bmt2	101148	ENSMUSG00000042742	
H2al1o	333452	ENSMUSG00000061065	
Arhgap44	216831	ENSMUSG00000033389	
Nxf1	53319	ENSMUSG00000010097	
Zfp69	381549	ENSMUSG00000064141	A2A761
1700086D15Rik		ENSMUSG00000020548	
Zfp69	381549	ENSMUSG00000064141	
Stra6l	74152	ENSMUSG00000028327	Q9DBN1
Carns1	107239	ENSMUSG00000075289	
Zfp42	22702	ENSMUSG00000051176	
Angpt4	11602	ENSMUSG00000027460	Q9WVH6
Cntn6	53870	ENSMUSG00000030092	
Dtd1	66044	ENSMUSG00000027430	Q9DD18
Parp11	101187	ENSMUSG00000037997	
Fhl5	57756	ENSMUSG00000028259	Q9WTX7
Gsdma3	450219	ENSMUSG00000064224	
Arf4	11843	ENSMUSG00000021877	P61750
Acp7	101744	ENSMUSG00000037469	Q8BX37
Prl3c1	27372	ENSMUSG00000017922	Q9QUN5
C1d	57316	ENSMUSG00000000581	O35473
Gsdma3	450219	ENSMUSG00000064224	Q5Y4Y6
C1d	57316	ENSMUSG00000000581	
Acp7	101744	ENSMUSG00000037469	
Fam174b	100038347	ENSMUSG00000078670	Q8K064
Prl3c1	27372	ENSMUSG00000017922	
Arf4	11843	ENSMUSG00000021877	
Ptbp3	230257	ENSMUSG00000028382	Q8BHD7
Olfr1416	259040	ENSMUSG00000067064	
Fam174b	100038347	ENSMUSG00000078670	
Eci2	23986	ENSMUSG00000021417	Q9WUR2
Gpr63	81006	ENSMUSG00000040372	Q9EQQ3
Crlf1	12931	ENSMUSG00000007888	Q9JM58
Fam205a3	100043920	ENSMUSG00000093996	C0HKD1
Fam205a3	100862261	ENSMUSG00000093996	C0HKD1
Fam205a3	100043920	ENSMUSG00000093996	C0HKD2
Fam205a3	100862261	ENSMUSG00000093996	C0HKD2
Fam205a3	100043920	ENSMUSG00000093996	C0HKD3
Fam205a3	100862261	ENSMUSG00000093996	C0HKD3
Cdca3	14793	ENSMUSG00000023505	
Gadd45g	23882	ENSMUSG00000021453	
Ighd2-5		ENSMUSG00000095897	
Cnih1	12793	ENSMUSG00000015759	O35372
Crlf1	12931	ENSMUSG00000007888	
Gm37327		ENSMUSG00000103203	
Crtam	54698	ENSMUSG00000032021	Q149L7
Ighd5-2		ENSMUSG00000096396	
Oxld1	66431	ENSMUSG00000039670	Q9CR10
Ighd2-4		ENSMUSG00000095444	
Cnih1	12793	ENSMUSG00000015759	
Zfp235	56525	ENSMUSG00000047603	
Adam26b	382007	ENSMUSG00000063900	
Cdca3	14793	ENSMUSG00000023505	Q99M54
Oxld1	66431	ENSMUSG00000039670	
Nova2	384569	ENSMUSG00000030411	
Pcbd1	13180	ENSMUSG00000020098	
Crtam	54698	ENSMUSG00000032021	
Eci2	23986	ENSMUSG00000021417	
Zfp114	232966	ENSMUSG00000068962	
Ncald	52589	ENSMUSG00000051359	Q91X97
Crct1	74175	ENSMUSG00000027913	
Tmem97	69071	ENSMUSG00000037278	Q8VD00
Dcaf12l1	245404	ENSMUSG00000045284	Q8CBW4
Pcbd1	13180	ENSMUSG00000020098	P61458
Klf14	619665	ENSMUSG00000073209	Q19A41
Ighd2-3		ENSMUSG00000096568	
Ptbp3	230257	ENSMUSG00000028382	
Pnkd	56695	ENSMUSG00000026179	Q69ZP3
Gm21586	100862247	ENSMUSG00000095234	
Ighd1-1		ENSMUSG00000076630	
Adam26a	13525	ENSMUSG00000048516	Q9R158
Vmn1r213	171249	ENSMUSG00000060024	
Rxfp2	140498	ENSMUSG00000053368	Q91ZZ5
Ncald	52589	ENSMUSG00000051359	
Clec10a	17312	ENSMUSG00000000318	
Rxfp2	140498	ENSMUSG00000053368	
Adam6b	238405	ENSMUSG00000051804	
Prl3b1	18776	ENSMUSG00000038891	
Scube2	56788	ENSMUSG00000007279	Q9JJS0
Ighd3-1		ENSMUSG00000093818	
Cers6	241447	ENSMUSG00000027035	Q8C172
Nanos2	378430	ENSMUSG00000051965	P60322
Dusp4	319520	ENSMUSG00000031530	Q8BFV3
Scube2	56788	ENSMUSG00000007279	
Dym	69190	ENSMUSG00000035765	
Gm16968		ENSMUSG00000076632	
Mfn1	67414	ENSMUSG00000027668	Q811U4
Med6	69792	ENSMUSG00000002679	Q921D4
Qser1	99003	ENSMUSG00000074994	
Prl3b1	18776	ENSMUSG00000038891	P09586
Tgfb1i1	21804	ENSMUSG00000030782	Q62219
Guf1	231279	ENSMUSG00000029208	
Mgat4e	71001	ENSMUSG00000046367	A6H684
Med6	69792	ENSMUSG00000002679	
Ddc	13195	ENSMUSG00000020182	O88533
Ddc	13195	ENSMUSG00000020182	
Rabgap1	227800	ENSMUSG00000035437	A2AWA9
Mfn1	67414	ENSMUSG00000027668	
Mgat4e	71001	ENSMUSG00000046367	
Cers6	241447	ENSMUSG00000027035	
Npc1	18145	ENSMUSG00000024413	O35604
Adam6a	238406	ENSMUSG00000043945	
Olfr1170	258525	ENSMUSG00000075133	
4930447A16Rik	74892	ENSMUSG00000022288	
Zfp111	56707	ENSMUSG00000087598	
Olfr1173	404329	ENSMUSG00000075132	
Nupr1	56312	ENSMUSG00000030717	Q9WTK0
Crocc2	381284	ENSMUSG00000084989	
Olfr1375	258509	ENSMUSG00000057890	
Tchp	77832	ENSMUSG00000002486	Q3TVW5
Gm32802		ENSMUSG00000112252	
Olfr1174		ENSMUSG00000080713	
Git1	216963	ENSMUSG00000011877	Q68FF6
Nupr1	56312	ENSMUSG00000030717	
Git1	216963	ENSMUSG00000011877	
Dym	69190	ENSMUSG00000035765	Q8CHY3
Olfr1415	258228	ENSMUSG00000057464	
Tgm6	241636	ENSMUSG00000027403	
Zc3hav1l	209032	ENSMUSG00000047749	Q8BFR1
Clec10a	17312	ENSMUSG00000000318	P49300
Olfr1414	259041	ENSMUSG00000042849	
Spata22	380709	ENSMUSG00000112920	Q5SV06
Tchp	77832	ENSMUSG00000002486	
Tbc1d10c	108995	ENSMUSG00000040247	Q8C9V1
Sec22a	317717	ENSMUSG00000034473	Q8BH47
Pbrm1	66923	ENSMUSG00000042323	
Sec22a	317717	ENSMUSG00000034473	
Gm49340		ENSMUSG00000069825	
A630089N07Rik		ENSMUSG00000116673	
Vmn2r126	668612	ENSMUSG00000091528	
Pbrm1	66923	ENSMUSG00000042323	Q8BSQ9
Rap1a	109905	ENSMUSG00000068798	P62835
Olfr20	258925	ENSMUSG00000062128	
Rap1a	109905	ENSMUSG00000068798	
Zfp664	269704	ENSMUSG00000079215	
Rps15	20054	ENSMUSG00000063457	P62843
Palm	18483	ENSMUSG00000035863	Q9Z0P4
Fpr1	14293	ENSMUSG00000045551	P33766
Tspan2	70747	ENSMUSG00000027858	Q922J6
Kank1	107351	ENSMUSG00000032702	
Rps15	20054	ENSMUSG00000063457	
Tspan2	70747	ENSMUSG00000027858	
B230307C23Rik	245305	ENSMUSG00000080717	
Palm	18483	ENSMUSG00000035863	
Gm16405	625210	ENSMUSG00000096468	
Gm16405	666096	ENSMUSG00000096468	
Gm16405	666122	ENSMUSG00000096468	
Gm16405	666135	ENSMUSG00000096468	
Gm16405	100040867	ENSMUSG00000096468	
Ptprc	19264	ENSMUSG00000026395	P06800
Ufl1	67490	ENSMUSG00000040359	Q8CCJ3
Fpr3	14294	ENSMUSG00000079700	O08790
Guf1	231279	ENSMUSG00000029208	Q8C3X4
Zfp936	668620	ENSMUSG00000064194	
Fpr2	14289	ENSMUSG00000052270	
Fpr2	14289	ENSMUSG00000052270	O88536
Gm16430	625210	ENSMUSG00000094714	
Gm16430	666096	ENSMUSG00000094714	
Gm16430	666122	ENSMUSG00000094714	
Gm16430	666135	ENSMUSG00000094714	
Gm16430	100040894	ENSMUSG00000094714	
Zfp354a	21408	ENSMUSG00000020364	Q61751
Car4	12351	ENSMUSG00000000805	Q64444
C8a	230558	ENSMUSG00000035031	
Snx10	71982	ENSMUSG00000038301	Q9CWT3
Zfp354a	21408	ENSMUSG00000020364	
Cpsf4	54188	ENSMUSG00000029625	
Emx1	13796	ENSMUSG00000033726	Q04742
Ptprc	19264	ENSMUSG00000026395	
Snx10	71982	ENSMUSG00000038301	
Eif2b5	224045	ENSMUSG00000003235	Q8CHW4
Car4	12351	ENSMUSG00000000805	
Fpr-rs4	14291	ENSMUSG00000048062	A4FUQ5
Sult1a1	20887	ENSMUSG00000030711	
Cpsf4	54188	ENSMUSG00000029625	Q8BQZ5
Eif2b5	224045	ENSMUSG00000003235	
Dynlt3	67117	ENSMUSG00000031176	P56387
Top2a	21973	ENSMUSG00000020914	Q01320
Tbc1d10c	108995	ENSMUSG00000040247	
Olfr1175		ENSMUSG00000083855	
Tgfb1i1	21804	ENSMUSG00000030782	
Olfr1176	258767	ENSMUSG00000050023	
Vmn2r124	637021	ENSMUSG00000094396	
C8a	230558	ENSMUSG00000035031	Q8K182
Eif4g1	208643	ENSMUSG00000045983	
Tshb	22094	ENSMUSG00000027857	
Sptbn4	80297	ENSMUSG00000011751	
Smap2	69780	ENSMUSG00000032870	Q7TN29
Tmigd3		ENSMUSG00000118531	
Lce1m	66203	ENSMUSG00000027912	
Adora3	11542	ENSMUSG00000000562	
Adora3	69296	ENSMUSG00000000562	
Itga7	16404	ENSMUSG00000025348	
Slc25a1	13358	ENSMUSG00000003528	Q8JZU2
Cul4a	99375	ENSMUSG00000031446	Q3TCH7
Hsdl1	72552	ENSMUSG00000034189	Q8BTX9
Mrps24	64660	ENSMUSG00000020477	Q9CQV5
Cul4a	99375	ENSMUSG00000031446	
H2ap	67334	ENSMUSG00000040456	Q9CR04
Nlrp9a	233001	ENSMUSG00000054102	
Scp2d1	66328	ENSMUSG00000027431	Q9DAH1
Hsdl1	72552	ENSMUSG00000034189	
Iltifb	116849	ENSMUSG00000090461	Q9JJY8
Slc25a1	13358	ENSMUSG00000003528	
Rtbdn	234542	ENSMUSG00000048617	Q8QZY4
Tdpoz8	229571	ENSMUSG00000096879	
Mettl7b	71664	ENSMUSG00000025347	Q9DD20
Znrf3	407821	ENSMUSG00000041961	Q5SSZ7
Sparc	20692	ENSMUSG00000018593	
Gm9040		ENSMUSG00000112814	
Dennd6a	211922	ENSMUSG00000040818	Q8BH65
H2al3	385317	ENSMUSG00000048994	
Gm9044		ENSMUSG00000112419	
Prr32	68800	ENSMUSG00000037086	A2AFE9
Gpr85	64450	ENSMUSG00000048216	P60894
Znrf3	407821	ENSMUSG00000041961	
Gm34066	115486407	ENSMUSG00000109809	
Rtbdn	234542	ENSMUSG00000048617	
Dennd6a	211922	ENSMUSG00000040818	
Ighv5-2		ENSMUSG00000076633	
Tmigd3	69296	ENSMUSG00000074344	
Ezr	22350	ENSMUSG00000052397	P26040
Spcs1	69019	ENSMUSG00000021917	Q9D958
Tsc22d2	72033	ENSMUSG00000027806	
Zfp109	56869	ENSMUSG00000074283	
Gm9045		ENSMUSG00000112027	
Sparc	20692	ENSMUSG00000018593	P07214
Ighv2-2		ENSMUSG00000096464	
Spcs1	69019	ENSMUSG00000021917	
Cfap300	234912	ENSMUSG00000053070	Q8CC70
Gm9046		ENSMUSG00000112781	
Rasef	242505	ENSMUSG00000043003	Q5RI75
Cfap300	234912	ENSMUSG00000053070	
Tmigd3	69296	ENSMUSG00000074344	G3X8R9
Phb	18673	ENSMUSG00000038845	P67778
Mzt2	72083	ENSMUSG00000022671	Q9CQ25
Rasef	242505	ENSMUSG00000043003	
Phb	18673	ENSMUSG00000038845	
Sgf29	75565	ENSMUSG00000030714	Q9DA08
Mzt2	72083	ENSMUSG00000022671	
Adam34l	384813	ENSMUSG00000050190	
Fezf1	73191	ENSMUSG00000029697	Q0VDQ9
Prl3a1	67000	ENSMUSG00000038883	
Zfp273	212569	ENSMUSG00000030446	
Sgf29	75565	ENSMUSG00000030714	
Lpxn	107321	ENSMUSG00000024696	
Calr4	108802	ENSMUSG00000028558	
Ccdc154	207209	ENSMUSG00000059562	
Ascc3	77987	ENSMUSG00000038774	E9PZJ8
Cklf	75458	ENSMUSG00000054400	Q9DAS1
Tmem223	66836	ENSMUSG00000117924	Q9CQE2
Ascc3	77987	ENSMUSG00000038774	
Lpxn	107321	ENSMUSG00000024696	Q99N69
Vmn2r91	665210	ENSMUSG00000091206	
Cklf	75458	ENSMUSG00000054400	
Adam34	252866	ENSMUSG00000079058	
Adam34	384814	ENSMUSG00000079058	
Zfp108	54678	ENSMUSG00000030486	
Npffr2	104443	ENSMUSG00000035528	Q924H0
Sgce	20392	ENSMUSG00000004631	O70258
Atp8b3	67331	ENSMUSG00000003341	Q6UQ17
Sgce	20392	ENSMUSG00000004631	
Gm28891		ENSMUSG00000095141	
Zfp93	22755	ENSMUSG00000055305	Q61116
Atp8b3	67331	ENSMUSG00000003341	
Mtfp1	67900	ENSMUSG00000004748	Q9CRB8
Nlk	18099	ENSMUSG00000017376	O54949
Ccdc154	207209	ENSMUSG00000059562	Q6RUT8
Fam110a	73847	ENSMUSG00000027459	Q8R184
Adamts2	216725	ENSMUSG00000036545	
Pdia4	12304	ENSMUSG00000025823	
Nlk	18099	ENSMUSG00000017376	
Gnl3	30877	ENSMUSG00000042354	
Pdia5	72599	ENSMUSG00000022844	Q921X9
Adamts2	216725	ENSMUSG00000036545	Q8C9W3
Gm5244		ENSMUSG00000091014	
Ighv5-4		ENSMUSG00000095612	
2610001J05Rik	66520	ENSMUSG00000052419	
Hibadh	58875	ENSMUSG00000029776	Q99L13
Olfr1301	258889	ENSMUSG00000057149	
Tmem179b	67706	ENSMUSG00000118346	
Gm9048		ENSMUSG00000112495	
Chordc1	66917	ENSMUSG00000001774	Q9D1P4
Olfr1302	258891	ENSMUSG00000044560	
Gm9049		ENSMUSG00000112919	
Nmt1	18107	ENSMUSG00000020936	O70310
Olfr1444	258697	ENSMUSG00000046272	Q8VFX2
Sytl3	83672	ENSMUSG00000041831	Q99N48
Chordc1	66917	ENSMUSG00000001774	
Tmem179b	67706	ENSMUSG00000118346	Q9CY24
Prmt7	214572	ENSMUSG00000060098	Q922X9
Arhgef16	230972	ENSMUSG00000029032	Q3U5C8
Prmt7	214572	ENSMUSG00000060098	
Gnb3	14695	ENSMUSG00000023439	Q61011
Sytl3	83672	ENSMUSG00000041831	
Arhgef16	230972	ENSMUSG00000029032	
Urgcp	72046	ENSMUSG00000049680	Q5NCI0
Prrx1	18933	ENSMUSG00000026586	P63013
Vmn2r92	627111	ENSMUSG00000091350	
Tmem219	68742	ENSMUSG00000060538	
Ctf1	13019	ENSMUSG00000042340	Q60753
Gsdma2	76758	ENSMUSG00000017211	Q32M21
Lifr	16880	ENSMUSG00000054263	
Gnpda2	67980	ENSMUSG00000029209	Q9CRC9
Ctf1	13019	ENSMUSG00000042340	
Cntn6	53870	ENSMUSG00000030092	Q9JMB8
Zfp786	330301	ENSMUSG00000051499	Q8BV42
Akap10	56697	ENSMUSG00000047804	O88845
Gnat3	242851	ENSMUSG00000028777	Q3V3I2
Papss2	23972	ENSMUSG00000024899	
Olfr1445	258694	ENSMUSG00000045126	
Prmt8	381813	ENSMUSG00000030350	Q6PAK3
Urgcp	72046	ENSMUSG00000049680	
Ide	15925	ENSMUSG00000056999	
Olfr1413	259039	ENSMUSG00000058904	
Papss2	23972	ENSMUSG00000024899	O88428
Prrx1	18933	ENSMUSG00000026586	
Oog1	193322	ENSMUSG00000096576	
Ctf2	244218	ENSMUSG00000060034	P83714
Vmn2r94	665227	ENSMUSG00000090417	
Dcakd	68087	ENSMUSG00000020935	Q8BHC4
Ctf2	244218	ENSMUSG00000060034	
Olfr1303	258397	ENSMUSG00000093804	
Oog1	193322	ENSMUSG00000096576	E9Q5G7
Dcakd	68087	ENSMUSG00000020935	
Smpd3	58994	ENSMUSG00000031906	Q9JJY3
Gnl3	30877	ENSMUSG00000042354	Q8CI11
Gm10302	100042688	ENSMUSG00000096294	
Gm11758	545637	ENSMUSG00000096530	
Gnpda2	67980	ENSMUSG00000029209	
Pkd2	18764	ENSMUSG00000034462	O35245
Arl8b	67166	ENSMUSG00000030105	Q9CQW2
Acap1	216859	ENSMUSG00000001588	Q8K2H4
Cracr2a	381812	ENSMUSG00000061414	
Arl8b	67166	ENSMUSG00000030105	
Lamp1	16783	ENSMUSG00000031447	P11438
Shkbp1	192192	ENSMUSG00000089832	Q6P7W2
Vmn2r93	627132	ENSMUSG00000079698	
Cracr2a	381812	ENSMUSG00000061414	Q3UP38
Cep126	234915	ENSMUSG00000040729	
Smad7	17131	ENSMUSG00000025880	O35253
Smad7	17131	ENSMUSG00000025880	
Tmco1	68944	ENSMUSG00000052428	Q921L3
Gal3st3	545276	ENSMUSG00000047658	P61315
Tmco1	68944	ENSMUSG00000052428	
Gm2016	100039042	ENSMUSG00000072905	
Cldn12	64945	ENSMUSG00000046798	Q9ET43
Gm21293	100861880	ENSMUSG00000091779	
Tax1bp1	52440	ENSMUSG00000004535	Q3UKC1
Gm2001	100038992	ENSMUSG00000113951	
Tax1bp1	52440	ENSMUSG00000004535	
Cep126	234915	ENSMUSG00000040729	Q0VBV7
Gm6763	627488	ENSMUSG00000097427	
Gm4027	100042776	ENSMUSG00000092019	
Slxl1	75140	ENSMUSG00000067909	
Slxl1	626274	ENSMUSG00000067909	
Slxl1	666151	ENSMUSG00000067909	
Slxl1	666161	ENSMUSG00000067909	
Cldn12	64945	ENSMUSG00000046798	
Psmc5	19184	ENSMUSG00000020708	P62196
Ccdc137	67291	ENSMUSG00000049957	Q8R0K4
Il17rb	50905	ENSMUSG00000015966	
Gm2022	100039052	ENSMUSG00000113971	
Fbxo24	71176	ENSMUSG00000089984	Q9D417
Psmc5	19184	ENSMUSG00000020708	
Tmem219	68742	ENSMUSG00000060538	Q9D123
Vmn2r95	328759	ENSMUSG00000091631	
Ccdc137	67291	ENSMUSG00000049957	
Gm21936	100861898	ENSMUSG00000113201	
Fbxo24	71176	ENSMUSG00000089984	
BB287469	544881	ENSMUSG00000079031	
St8sia2	20450	ENSMUSG00000025789	O35696
Pgap1	241062	ENSMUSG00000073678	Q3UUQ7
Gm16381	100042786	ENSMUSG00000113489	
Trmt5	76357	ENSMUSG00000034442	Q9D0C4
St8sia2	20450	ENSMUSG00000025789	
Trmt5	76357	ENSMUSG00000034442	
Il17rb	50905	ENSMUSG00000015966	Q9JIP3
Gm21319	100861908	ENSMUSG00000095724	
Grtp1	66790	ENSMUSG00000038515	
Vmn2r96	433070	ENSMUSG00000091679	
Oacyl	319888	ENSMUSG00000046610	Q8BML2
Oacyl	319888	ENSMUSG00000046610	
Heatr1	217995	ENSMUSG00000050244	
Rinl	320435	ENSMUSG00000051735	Q80UW3
Gm8764	667692	ENSMUSG00000097878	
Tnks	21951	ENSMUSG00000031529	Q6PFX9
Epg5	100502841	ENSMUSG00000039840	Q80TA9
Rinl	320435	ENSMUSG00000051735	
Tnks	21951	ENSMUSG00000031529	
Ano1	101772	ENSMUSG00000031075	
Zfp458	238690	ENSMUSG00000055480	Q6P5C7
Wdr20	69641	ENSMUSG00000037957	
Dpy19l4	381510	ENSMUSG00000045205	
M1ap	110958	ENSMUSG00000030041	Q9Z0E1
Zfp458	238690	ENSMUSG00000055480	
M1ap	110958	ENSMUSG00000030041	
Grtp1	66790	ENSMUSG00000038515	Q9D3N8
Scgb2b21	626970	ENSMUSG00000099900	
Akr1c13	27384	ENSMUSG00000021213	Q8VC28
Gm20479		ENSMUSG00000092367	
Pm20d1	212933	ENSMUSG00000042251	Q8C165
Ano1	101772	ENSMUSG00000031075	Q8BHY3
Osbpl6	99031	ENSMUSG00000042359	Q8BXR9
Akr1c13	27384	ENSMUSG00000021213	
Pm20d1	212933	ENSMUSG00000042251	
Osbpl6	99031	ENSMUSG00000042359	
Arl16	70317	ENSMUSG00000057594	
Klk1b4	18048	ENSMUSG00000066513	P00757
Olfr70	56014	ENSMUSG00000050215	
Dvl3	13544	ENSMUSG00000003233	Q61062
Fgd5	232237	ENSMUSG00000034037	
Dvl3	13544	ENSMUSG00000003233	
Glt8d1	76485	ENSMUSG00000021916	Q6NSU3
Dmrt1	50796	ENSMUSG00000024837	Q9QZ59
Glt8d1	76485	ENSMUSG00000021916	
Vmn1r214	171248	ENSMUSG00000061829	
Actr8	56249	ENSMUSG00000015971	Q8R2S9
Ighv2-3		ENSMUSG00000094164	
Peg10	170676	ENSMUSG00000092035	Q7TN75
Ppil6	73075	ENSMUSG00000078451	
Peg10	170676	ENSMUSG00000092035	
Cyp4f37	677156	ENSMUSG00000062464	
Klk1b16	16615	ENSMUSG00000038968	P04071
Vpreb2	22363	ENSMUSG00000059280	P13373
Actr8	56249	ENSMUSG00000015971	
Ankrd40	71452	ENSMUSG00000020864	Q5SUE8
Mypop	232934	ENSMUSG00000048481	Q8R4U1
Prl6a1	19111	ENSMUSG00000069259	O35257
Prkra	23992	ENSMUSG00000002731	Q9WTX2
Prl6a1	19111	ENSMUSG00000069259	
Klk1b24	16617	ENSMUSG00000063713	Q61754
Sfrp1	20377	ENSMUSG00000031548	Q8C4U3
Ankrd40	71452	ENSMUSG00000020864	
Dpy19l4	381510	ENSMUSG00000045205	A2AJQ3
Rps24	20088	ENSMUSG00000025290	P62849
Ighv2-5		ENSMUSG00000096498	
Akr1c19	432720	ENSMUSG00000071551	
Pdlim7	67399	ENSMUSG00000021493	Q3TJD7
Klk1b3	18050	ENSMUSG00000066515	P00756
Rps24	20088	ENSMUSG00000025290	
Atp6v0e2	76252	ENSMUSG00000039347	Q91XE7
Abhd15	67477	ENSMUSG00000000686	Q5F2F2
Rflna	73121	ENSMUSG00000037962	Q7TS73
Abhd15	67477	ENSMUSG00000000686	
Fam205a2	545611	ENSMUSG00000094066	C0HKD1
Fam205a2	545611	ENSMUSG00000094066	C0HKD2
Fam205a2	545611	ENSMUSG00000094066	C0HKD3
Ighv5-12		ENSMUSG00000095429	
Atp6v0e2	76252	ENSMUSG00000039347	
Cnpy4	66455	ENSMUSG00000036968	Q8BQ47
Vmn1r215	171253	ENSMUSG00000099917	
Syt8	55925	ENSMUSG00000031098	Q9R0N6
Cnpy4	66455	ENSMUSG00000036968	
Ighv2-6		ENSMUSG00000096670	
Mblac1	330216	ENSMUSG00000049285	Q8BWY4
Gm38655	102643076	ENSMUSG00000114245	A0A286YDK6
Kctd21	622320	ENSMUSG00000044952	
Vmn1r216		ENSMUSG00000115697	
Syt8	55925	ENSMUSG00000031098	
Vmn1r217	171273	ENSMUSG00000115791	
Spidr	224008	ENSMUSG00000041974	Q8BGX7
Pcolce	18542	ENSMUSG00000029718	Q61398
Pcolce	18542	ENSMUSG00000029718	
Cebpd	12609	ENSMUSG00000071637	Q00322
Maf1	68877	ENSMUSG00000022553	Q9D0U6
Pdlim7	67399	ENSMUSG00000021493	
Sema5b	20357	ENSMUSG00000052133	Q60519
Trp53i13	216964	ENSMUSG00000044328	Q5F267
Ifng	15978	ENSMUSG00000055170	P01580
Flcn	216805	ENSMUSG00000032633	Q8QZS3
Cd209b	69165	ENSMUSG00000065987	
Olfr9	18373	ENSMUSG00000069430	Q60885
Trp53i13	216964	ENSMUSG00000044328	
Olfr1305	258396	ENSMUSG00000074955	
Olfr763	258861	ENSMUSG00000063374	
Olfr376	258924	ENSMUSG00000063881	
Maf1	68877	ENSMUSG00000022553	
Lmbrd1	68421	ENSMUSG00000073725	Q8K0B2
BC003965	214489	ENSMUSG00000067722	Q6RUT7
Tspan11	68498	ENSMUSG00000030351	Q9D1D1
Lmbrd1	68421	ENSMUSG00000073725	
Atp9b	50771	ENSMUSG00000024566	
Flcn	216805	ENSMUSG00000032633	
Gm21304	100861891	ENSMUSG00000097550	
Rrm2	20135	ENSMUSG00000020649	P11157
Serpina10	217847	ENSMUSG00000061947	Q8R121
Rrm2	20135	ENSMUSG00000020649	
Gm21312	100861901	ENSMUSG00000094144	
Zfp106	20402	ENSMUSG00000027288	
Gm10591	100041504	ENSMUSG00000096596	P86792
Gm10591	100504239	ENSMUSG00000096596	P86792
Gm10591	100041504	ENSMUSG00000096596	P86793
Gm10591	100504239	ENSMUSG00000096596	P86793
Vmn2r97	627367	ENSMUSG00000091491	
Trpv2	22368	ENSMUSG00000018507	Q9WTR1
9430015G10Rik	230996	ENSMUSG00000059939	
Gm20765	637578	ENSMUSG00000095022	
